36,53
89,77
79,51
79,60
154,63
92,79
112,57
83,21
131,70
92,88
82,65
124,31
41,24
112,75
95,4
124,49
6,75
136,14
199,61
39,90
62,92
182,8
3,15
39,99
182,17
76,8
121,7
113,3
161,52
196,19
18,3
196,28
16,70
36,48
173,35
172,88
110,15
57,98
110,24
94,7
17,71
40,36
154,58
173,71
92,74
134,98
77,94
166,41
94,34
6,61
177,50
135,44
84,8
21,68
199,56
8,98
25,29
191,61
51,50
137,99
148,10
160,73
109,37
13,60
121,11
3,37
107,76
113,7
121,20
184,58
96,85
47,43
173,30
78,58
153,61
172,74
47,52
55,65
79,32
165,35
70,63
110,10
59,63
162,48
94,2
154,53
29,31
134,84
194,89
177,18
38,98
48,44
178,1
61,81
50,90
159,6
147,4
156,71
81,68
19,93
117,9
62,73
45,2
136,22
97,12
54,78
139,27
157,63
93,60
2,49
191,74
31,94
51,81
142,38
13,64
59,31
64,100
138,86
88,76
48,21
91,1
165,39
194,75
100,77
175,80
104,38
111,86
152,87
187,54
92,82
115,47
166,31
27,74
176,63
73,41
189,5
188,37
19,79
50,94
10,21
164,79
170,10
168,40
191,42
139,4
30,97
116,48
139,13
73,77
145,84
67,3
85,51
192,25
14,9
168,76
12,85
190,73
172,46
17,20
35,68
16,64
142,51
9,25
118,93
49,79
92,59
40,21
9,52
158,13
115,42
104,51
164,65
108,30
147,12
108,39
41,98
149,49
197,98
189,94
118,52
55,23
171,64
161,50
196,17
22,93
92,27
173,24
48,2
3,98
65,82
131,27
104,10
129,94
121,90
152,68
177,12
62,22
8,60
145,47
176,62
108,7
93,18
185,92
122,63
91,94
31,52
23,48
74,32
32,26
4,44
186,84
114,77
107,38
184,20
95,82
24,40
172,27
13,40
16,36
182,59
134,10
76,50
70,16
96,65
182,68
190,81
173,10
65,77
63,4
104,5
187,21
176,21
7,63
5,44
176,30
6,18
49,87
123,36
69,65
42,57
127,6
61,70
174,87
164,64
155,83
30,73
54,40
185,96
39,42
108,20
166,92
137,56
85,27
138,30
66,23
137,74
160,39
114,72
67,6
25,89
189,93
170,89
96,51
25,98
53,89
128,92
57,50
148,79
154,10
49,55
26,53
175,42
131,17
163,86
113,67
59,96
7,58
132,80
141,58
50,38
121,89
113,85
54,8
101,92
164,41
18,85
180,4
39,28
191,13
114,40
108,6
122,53
30,77
157,29
31,51
157,38
75,85
96,28
186,92
107,37
55,8
119,11
190,62
34,71
56,71
17,9
109,83
175,28
195,6
140,70
22,96
46,63
78,95
98,82
27,40
164,27
193,63
154,90
193,72
122,30
39,23
165,99
29,77
30,54
8,54
63,88
29,86
114,44
126,9
33,65
84,49
23,42
64,43
1,5
44,65
96,23
159,70
172,12
148,42
194,9
183,9
56,66
57,31
182,53
3,69
192,94
15,34
69,14
183,45
98,59
175,41
79,73
176,24
27,44
154,85
19,40
9,94
29,72
23,1
143,66
103,30
12,19
52,55
72,33
155,86
178,60
56,43
182,30
53,56
99,23
22,41
105,94
153,3
109,55
163,35
10,94
86,62
85,97
45,70
184,76
169,87
120,82
194,31
152,25
184,94
49,49
27,12
86,98
7,43
71,46
173,66
90,59
142,97
18,52
8,17
101,50
164,17
91,33
154,80
197,32
103,25
23,5
166,63
197,41
157,5
6,83
167,46
72,37
199,87
127,80
128,45
170,60
107,22
22,36
37,43
128,63
34,56
168,99
14,50
43,86
51,99
194,17
66,97
133,7
77,17
24,100
49,44
98,58
141,38
61,18
70,85
110,32
144,34
47,83
102,28
134,97
137,13
31,4
131,91
20,13
187,90
6,78
12,9
53,10
33,41
198,99
95,25
64,19
105,57
143,83
41,63
116,66
147,53
182,20
53,46
117,49
190,33
140,23
85,87
129,32
78,48
138,99
37,56
79,22
120,72
7,15
121,37
1,93
69,8
98,44
15,37
78,75
16,100
28,65
110,27
19,7
153,96
91,23
94,10
60,26
178,9
123,73
146,75
84,11
52,40
155,62
6,82
136,30
56,10
22,17
62,99
182,15
180,82
10,70
22,35
121,5
37,33
38,7
49,7
38,16
90,26
71,22
67,70
162,42
1,97
35,99
193,20
55,77
125,11
42,4
19,2
181,73
123,50
166,30
82,58
69,88
48,65
158,35
29,61
52,26
159,9
41,35
124,51
81,80
189,31
135,60
137,88
120,17
137,97
85,59
188,81
66,55
157,75
12,84
23,84
129,13
160,80
192,60
1,74
172,63
169,76
113,23
59,52
172,81
82,26
65,95
90,39
119,84
82,44
91,22
6,36
155,25
69,74
17,82
40,47
155,34
105,24
197,21
187,75
179,71
33,26
64,4
156,87
74,45
12,70
128,34
78,24
86,37
161,40
129,17
140,17
59,29
78,42
126,91
32,84
107,87
142,54
101,16
7,9
35,80
18,9
173,23
5,48
92,53
40,15
166,2
29,24
58,69
100,84
158,16
155,29
104,45
73,48
143,45
156,64
145,73
11,82
135,50
93,44
137,87
199,71
74,58
43,52
14,16
23,83
78,19
84,99
169,48
3,25
157,83
47,22
196,11
169,57
173,9
16,53
89,46
119,47
13,75
190,98
26,12
173,36
88,96
123,26
92,57
185,19
63,30
77,77
26,93
83,8
29,37
105,5
195,78
164,72
198,74
93,30
51,24
8,90
147,10
139,6
19,99
179,88
117,15
160,56
120,20
157,69
95,85
51,60
86,18
184,32
4,74
97,36
17,13
119,42
9,18
153,53
5,38
112,21
17,49
49,81
152,66
98,95
123,48
112,48
135,13
143,26
93,7
62,38
176,60
80,86
145,54
85,3
198,69
11,63
2,5
185,99
93,34
157,37
25,16
19,94
94,97
32,24
2,23
51,37
93,43
66,44
84,80
78,18
147,99
28,8
13,56
53,92
9,4
101,1
165,4
46,62
99,77
77,40
68,71
154,22
77,58
61,41
175,63
141,70
113,88
69,63
62,24
176,46
80,72
180,7
30,62
20,27
50,77
174,85
30,71
54,38
180,25
164,71
8,80
93,29
82,57
12,41
168,41
157,41
192,8
13,15
184,13
66,39
159,78
88,36
44,100
136,85
182,52
64,78
10,98
16,38
5,1
107,58
194,35
140,73
46,66
58,31
121,78
27,34
179,19
50,45
198,32
8,48
115,34
61,63
116,8
137,40
149,32
186,81
169,10
192,12
23,54
13,19
135,97
72,68
170,82
159,82
99,40
118,62
16,42
53,91
34,78
129,59
120,90
111,32
134,34
38,48
78,93
141,42
113,60
152,51
50,31
6,6
42,27
58,53
27,47
91,50
42,45
27,56
125,61
188,10
116,3
31,17
166,71
39,39
96,12
167,63
94,91
16,1
4,45
118,30
169,14
84,65
96,48
45,64
64,77
194,16
34,73
147,93
65,51
117,98
65,60
22,89
57,56
68,56
50,17
58,30
90,62
6,1
30,20
110,40
104,6
19,29
101,80
125,47
102,45
173,96
144,60
144,69
155,75
189,40
168,17
155,84
167,49
149,13
60,75
189,58
60,84
4,31
34,32
23,44
143,100
107,25
190,41
108,88
183,20
3,62
117,93
89,74
58,16
55,81
181,68
8,6
38,56
113,59
61,30
36,95
134,100
174,47
102,40
9,87
28,100
177,52
54,9
154,96
75,41
158,57
12,12
122,45
72,26
167,44
106,46
159,49
56,27
96,20
45,36
190,36
135,100
34,45
136,65
107,29
85,90
51,88
37,50
163,37
136,83
117,79
140,44
7,18
37,68
49,33
128,88
97,82
78,69
61,7
27,5
36,72
70,74
27,14
196,70
50,25
164,10
134,95
83,22
90,70
154,73
137,2
82,66
83,31
90,79
11,24
125,46
103,9
94,40
